target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,r2,mae_log,pearson_r
screen_unlock_count,tomorrow,morning,calendar_only,16216,9187,695,695,-0.012492771895589394,0.6309686836020982,0.04374108455644858
screen_unlock_count,tomorrow,morning,recent_history_only,16216,9187,695,695,0.33179050825022305,0.4544101746951337,0.5865808515942647
screen_unlock_count,tomorrow,morning,fingerprint_42d_only,16216,9187,695,695,0.3123527919689746,0.4610438911116359,0.5704348769500727
screen_unlock_count,tomorrow,morning,today_partial_only,16216,9187,695,695,0.11142087995993977,0.5754178705926797,0.35594100071880175
screen_unlock_count,tomorrow,morning,history_plus_fingerprint,16216,9187,695,695,0.3352138823276013,0.45435139875404834,0.5884392772821738
screen_unlock_count,tomorrow,morning,history_fingerprint_plus_today,16216,9187,695,695,0.3373106062200134,0.45372380199392576,0.590369512194226
screen_unlock_count,tomorrow,afternoon,calendar_only,16216,9187,695,695,-0.012492771895589394,0.6309686836020982,0.04374108455644858
screen_unlock_count,tomorrow,afternoon,recent_history_only,16216,9187,695,695,0.33179050825022305,0.4544101746951337,0.5865808515942647
screen_unlock_count,tomorrow,afternoon,fingerprint_42d_only,16216,9187,695,695,0.3123527919689746,0.4610438911116359,0.5704348769500727
screen_unlock_count,tomorrow,afternoon,today_partial_only,16216,9187,695,695,0.2366800012468694,0.5113681949736517,0.5012343233805832
screen_unlock_count,tomorrow,afternoon,history_plus_fingerprint,16216,9187,695,695,0.3352138823276013,0.45435139875404834,0.5884392772821738
screen_unlock_count,tomorrow,afternoon,history_fingerprint_plus_today,16216,9187,695,695,0.3459342123823179,0.4513778101624237,0.5974194945262421
screen_unlock_count,tomorrow,evening,calendar_only,16216,9187,695,695,-0.012492771895589394,0.6309686836020982,0.04374108455644858
screen_unlock_count,tomorrow,evening,recent_history_only,16216,9187,695,695,0.33179050825022305,0.4544101746951337,0.5865808515942647
screen_unlock_count,tomorrow,evening,fingerprint_42d_only,16216,9187,695,695,0.3123527919689746,0.4610438911116359,0.5704348769500727
screen_unlock_count,tomorrow,evening,today_partial_only,16216,9187,695,695,0.28894818151331225,0.47720594054508164,0.5536947260324361
screen_unlock_count,tomorrow,evening,history_plus_fingerprint,16216,9187,695,695,0.3352138823276013,0.45435139875404834,0.5884392772821738
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,16216,9187,695,695,0.35544000231417294,0.44553990674915844,0.6062868417901766
screen_unlock_count,next_week,morning,calendar_only,15044,8576,695,695,-0.001041472741336813,0.46327684069283676,0.03219573902062946
screen_unlock_count,next_week,morning,recent_history_only,15044,8576,695,695,0.6313500986729488,0.25409501002665413,0.7951660620319481
screen_unlock_count,next_week,morning,fingerprint_42d_only,15044,8576,695,695,0.6301985058874486,0.25330557058787534,0.7957150783543758
screen_unlock_count,next_week,morning,today_partial_only,15044,8576,695,695,0.2115453396877175,0.40770094358582404,0.4627530804163751
screen_unlock_count,next_week,morning,history_plus_fingerprint,15044,8576,695,695,0.6462230822754185,0.24853355790680948,0.8048785795415737
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,15044,8576,695,695,0.6477856832446356,0.24804498318106355,0.8059009975325633
screen_unlock_count,next_week,afternoon,calendar_only,15044,8576,695,695,-0.001041472741336813,0.46327684069283676,0.03219573902062946
screen_unlock_count,next_week,afternoon,recent_history_only,15044,8576,695,695,0.6313500986729488,0.25409501002665413,0.7951660620319481
screen_unlock_count,next_week,afternoon,fingerprint_42d_only,15044,8576,695,695,0.6301985058874486,0.25330557058787534,0.7957150783543758
screen_unlock_count,next_week,afternoon,today_partial_only,15044,8576,695,695,0.4087908890426023,0.3436363361577624,0.6410843008146909
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,15044,8576,695,695,0.6462230822754185,0.24853355790680948,0.8048785795415737
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,15044,8576,695,695,0.6519970201014273,0.24657756701142916,0.808472980799639
screen_unlock_count,next_week,evening,calendar_only,15044,8576,695,695,-0.001041472741336813,0.46327684069283676,0.03219573902062946
screen_unlock_count,next_week,evening,recent_history_only,15044,8576,695,695,0.6313500986729488,0.25409501002665413,0.7951660620319481
screen_unlock_count,next_week,evening,fingerprint_42d_only,15044,8576,695,695,0.6301985058874486,0.25330557058787534,0.7957150783543758
screen_unlock_count,next_week,evening,today_partial_only,15044,8576,695,695,0.4888734556184139,0.31337965776986826,0.701335340524934
screen_unlock_count,next_week,evening,history_plus_fingerprint,15044,8576,695,695,0.6462230822754185,0.24853355790680948,0.8048785795415737
