target_a,target_b,n_overlap,pearson_r,abs_r
phq4,phq4_EMA,5223,0.9999526801403815,0.9999526801403815
phq4,phq4_anxiety_EMA,5223,0.9147038783271023,0.9147038783271023
phq4_EMA,phq4_anxiety_EMA,5923,0.9146274508413371,0.9146274508413371
phq4,phq4_depression_EMA,5223,0.9089751001575814,0.9089751001575814
phq4_EMA,phq4_depression_EMA,5923,0.9089679754738997,0.9089679754738997
feel_depressed,negative_affect_EMA,2221,0.8333077082993768,0.8333077082993768
feel_anxious,negative_affect_EMA,2221,0.8243118764034718,0.8243118764034718
target_dep_weekly,phq4,5249,0.7930693993733825,0.7930693993733825
target_dep_weekly,phq4_EMA,5241,0.7918575611211524,0.7918575611211524
target_dep_weekly,feel_depressed,2221,0.753315218456917,0.753315218456917
target_dep_weekly,phq4_anxiety_EMA,5242,0.7226580723846092,0.7226580723846092
target_dep_weekly,phq4_depression_EMA,5242,0.7204608375433582,0.7204608375433582
target_dep_weekly,pss4_EMA,26,0.6987903231720486,0.6987903231720486
target_dep_weekly,feel_anxious,2221,0.697382497380237,0.697382497380237
phq4_anxiety_EMA,phq4_depression_EMA,5923,0.6628291199453776,0.6628291199453776
feel_depressed,feel_anxious,2221,0.6100265018934684,0.6100265018934684
phq4,negative_affect_EMA,5223,0.606834588917622,0.606834588917622
phq4_EMA,negative_affect_EMA,5863,0.6062585766983506,0.6062585766983506
phq4_depression_EMA,negative_affect_EMA,5865,0.5740619115197241,0.5740619115197241
target_dep_weekly,negative_affect_EMA,7499,0.5675271435935788,0.5675271435935788
pss4_EMA,negative_affect_EMA,5956,0.5342040949387754,0.5342040949387754
phq4_anxiety_EMA,negative_affect_EMA,5864,0.5322368778313764,0.5322368778313764
pss4_EMA,positive_affect_EMA,5954,-0.31654823788815045,0.31654823788815045
phq4_depression_EMA,positive_affect_EMA,5860,-0.22913041428531614,0.22913041428531614
phq4_EMA,positive_affect_EMA,5858,-0.21388703598714137,0.21388703598714137
phq4,positive_affect_EMA,5222,-0.20928710152833307,0.20928710152833307
target_dep_weekly,positive_affect_EMA,5271,-0.16773474327371002,0.16773474327371002
phq4_anxiety_EMA,positive_affect_EMA,5859,-0.16158636101814491,0.16158636101814491
positive_affect_EMA,negative_affect_EMA,11828,-0.14917176365699117,0.14917176365699117
phq4,pss4_EMA,4,,
phq4_EMA,pss4_EMA,4,,
phq4_anxiety_EMA,pss4_EMA,4,,
phq4_depression_EMA,pss4_EMA,4,,
feel_depressed,phq4,0,,
feel_depressed,phq4_EMA,0,,
feel_depressed,phq4_anxiety_EMA,0,,
feel_depressed,phq4_depression_EMA,0,,
feel_depressed,pss4_EMA,0,,
feel_depressed,positive_affect_EMA,0,,
feel_anxious,phq4,0,,
feel_anxious,phq4_EMA,0,,
feel_anxious,phq4_anxiety_EMA,0,,
feel_anxious,phq4_depression_EMA,0,,
feel_anxious,pss4_EMA,0,,
feel_anxious,positive_affect_EMA,0,,
