target,model,n_train,n_test,n_test_users,r2,pearson_r
target_dep_weekly,own_prior_only,4504,2930,694,0.3135919075775734,0.5654860678596543
target_dep_weekly,other_construct_priors,4504,2930,694,0.33222158609637,0.592869727805128
target_dep_weekly,own_plus_other_priors,4504,2930,694,0.3720557281868463,0.6216295483287503
feel_depressed,own_prior_only,1260,804,152,0.43409921190748246,0.6648778823847159
feel_depressed,other_construct_priors,1260,804,152,0.4235343080162951,0.6558002142005223
feel_depressed,own_plus_other_priors,1260,804,152,0.4653860988981253,0.6888457834889316
feel_anxious,own_prior_only,1260,804,152,0.32918113473732824,0.5758068479598528
feel_anxious,other_construct_priors,1260,804,152,0.37601566510832796,0.6176212329584798
feel_anxious,own_plus_other_priors,1260,804,152,0.4003072843871036,0.636909453167756
phq4,own_prior_only,2724,1961,539,0.5741360673257307,0.7647245176350382
phq4,other_construct_priors,2724,1961,539,0.6232252143489816,0.7977396176710138
phq4,own_plus_other_priors,2724,1961,539,0.6234541666697903,0.797525551563549
phq4_EMA,own_prior_only,3090,2212,592,0.5785975701623617,0.7670215522166663
phq4_EMA,other_construct_priors,3090,2212,592,0.6263073422735037,0.7991515714594565
phq4_EMA,own_plus_other_priors,3090,2212,592,0.6263919306140011,0.7992201164630891
phq4_anxiety_EMA,own_prior_only,3090,2213,592,0.4775442086979309,0.6950685932112004
phq4_anxiety_EMA,other_construct_priors,3090,2213,592,0.541293153458072,0.7414840618254535
phq4_anxiety_EMA,own_plus_other_priors,3090,2213,592,0.5405807757729026,0.7411459727440163
phq4_depression_EMA,own_prior_only,3091,2213,592,0.5356630687227748,0.7385798484379086
phq4_depression_EMA,other_construct_priors,3091,2213,592,0.5804002430241422,0.7693798892453364
phq4_depression_EMA,own_plus_other_priors,3091,2213,592,0.5807213185489547,0.7698055834574037
pss4_EMA,own_prior_only,3177,2149,589,0.5462523527177878,0.7408923306149676
pss4_EMA,other_construct_priors,3177,2149,589,0.3535052373932883,0.6029902870969265
pss4_EMA,own_plus_other_priors,3177,2149,589,0.5742032170552324,0.7623990742580689
positive_affect_EMA,own_prior_only,7061,4153,599,0.5443710311661031,0.7403700194698433
positive_affect_EMA,other_construct_priors,7061,4153,599,0.069316940460599,0.2714174693787818
positive_affect_EMA,own_plus_other_priors,7061,4153,599,0.5492180892055035,0.7432307100177359
negative_affect_EMA,own_prior_only,9954,5865,792,0.45971472823962745,0.6841643980165607
negative_affect_EMA,other_construct_priors,9954,5865,792,0.3332063586823707,0.58179513794573
negative_affect_EMA,own_plus_other_priors,9954,5865,792,0.5001137435544987,0.7135884390684474
