target_a,target_b,n_overlap,pearson_r,abs_r,family_a,family_b,same_family
phq4,phq4_EMA,5223,0.9999526801403816,0.9999526801403816,phq,phq,True
phq4,phq4_anxiety_EMA,5223,0.9147038783271024,0.9147038783271024,phq,phq,True
phq4_EMA,phq4_anxiety_EMA,5923,0.9146274508413372,0.9146274508413372,phq,phq,True
phq4,phq4_depression_EMA,5223,0.9089751001575814,0.9089751001575814,phq,phq,True
phq4_EMA,phq4_depression_EMA,5923,0.9089679754738996,0.9089679754738996,phq,phq,True
feel_depressed,negative_affect_EMA,2221,0.8333077082993768,0.8333077082993768,depressed_feeling,negative_affect,False
feel_anxious,negative_affect_EMA,2221,0.8243118764034718,0.8243118764034718,anxious_feeling,negative_affect,False
target_dep_weekly,phq4,5249,0.7930693993733825,0.7930693993733825,weekly_depression,phq,False
target_dep_weekly,phq4_EMA,5241,0.7918575611211524,0.7918575611211524,weekly_depression,phq,False
target_dep_weekly,feel_depressed,2221,0.753315218456917,0.753315218456917,weekly_depression,depressed_feeling,False
target_dep_weekly,phq4_anxiety_EMA,5242,0.7226580723846092,0.7226580723846092,weekly_depression,phq,False
target_dep_weekly,phq4_depression_EMA,5242,0.7204608375433582,0.7204608375433582,weekly_depression,phq,False
target_dep_weekly,pss4_EMA,26,0.6987903231720486,0.6987903231720486,weekly_depression,stress,False
target_dep_weekly,feel_anxious,2221,0.697382497380237,0.697382497380237,weekly_depression,anxious_feeling,False
phq4_anxiety_EMA,phq4_depression_EMA,5923,0.6628291199453776,0.6628291199453776,phq,phq,True
feel_depressed,feel_anxious,2221,0.6100265018934684,0.6100265018934684,depressed_feeling,anxious_feeling,False
phq4,negative_affect_EMA,5223,0.606834588917622,0.606834588917622,phq,negative_affect,False
phq4_EMA,negative_affect_EMA,5863,0.6062585766983506,0.6062585766983506,phq,negative_affect,False
phq4_depression_EMA,negative_affect_EMA,5865,0.5740619115197241,0.5740619115197241,phq,negative_affect,False
target_dep_weekly,negative_affect_EMA,7499,0.5675271435935788,0.5675271435935788,weekly_depression,negative_affect,False
pss4_EMA,negative_affect_EMA,5956,0.5342040949387754,0.5342040949387754,stress,negative_affect,False
phq4_anxiety_EMA,negative_affect_EMA,5864,0.5322368778313764,0.5322368778313764,phq,negative_affect,False
pss4_EMA,positive_affect_EMA,5954,-0.3165482378881504,0.3165482378881504,stress,positive_affect,False
phq4_depression_EMA,positive_affect_EMA,5860,-0.2291304142853161,0.2291304142853161,phq,positive_affect,False
phq4_EMA,positive_affect_EMA,5858,-0.2138870359871413,0.2138870359871413,phq,positive_affect,False
phq4,positive_affect_EMA,5222,-0.209287101528333,0.209287101528333,phq,positive_affect,False
target_dep_weekly,positive_affect_EMA,5271,-0.16773474327371,0.16773474327371,weekly_depression,positive_affect,False
phq4_anxiety_EMA,positive_affect_EMA,5859,-0.1615863610181449,0.1615863610181449,phq,positive_affect,False
positive_affect_EMA,negative_affect_EMA,11828,-0.1491717636569911,0.1491717636569911,positive_affect,negative_affect,False
phq4,pss4_EMA,4,,,phq,stress,False
phq4_EMA,pss4_EMA,4,,,phq,stress,False
phq4_anxiety_EMA,pss4_EMA,4,,,phq,stress,False
phq4_depression_EMA,pss4_EMA,4,,,phq,stress,False
feel_depressed,phq4,0,,,depressed_feeling,phq,False
feel_depressed,phq4_EMA,0,,,depressed_feeling,phq,False
feel_depressed,phq4_anxiety_EMA,0,,,depressed_feeling,phq,False
feel_depressed,phq4_depression_EMA,0,,,depressed_feeling,phq,False
feel_depressed,pss4_EMA,0,,,depressed_feeling,stress,False
feel_depressed,positive_affect_EMA,0,,,depressed_feeling,positive_affect,False
feel_anxious,phq4,0,,,anxious_feeling,phq,False
feel_anxious,phq4_EMA,0,,,anxious_feeling,phq,False
feel_anxious,phq4_anxiety_EMA,0,,,anxious_feeling,phq,False
feel_anxious,phq4_depression_EMA,0,,,anxious_feeling,phq,False
feel_anxious,pss4_EMA,0,,,anxious_feeling,stress,False
feel_anxious,positive_affect_EMA,0,,,anxious_feeling,positive_affect,False
