canonical_column,source_family_file,column,family,feature,version,segment,missing_rate,non_null_count
screen__f_screen:phone_screen_rapids_countepisodeunlock:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock:14dhist,f_screen,phone_screen_rapids_countepisodeunlock,raw,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_sumdurationunlock:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock:14dhist,f_screen,phone_screen_rapids_sumdurationunlock,raw,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_maxdurationunlock:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock:14dhist,f_screen,phone_screen_rapids_maxdurationunlock,raw,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_mindurationunlock:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock:14dhist,f_screen,phone_screen_rapids_mindurationunlock,raw,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_avgdurationunlock:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock:14dhist,f_screen,phone_screen_rapids_avgdurationunlock,raw,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_stddurationunlock:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock:14dhist,f_screen,phone_screen_rapids_stddurationunlock,raw,14dhist,0.2160799689775518,54582
screen__f_screen:phone_screen_rapids_firstuseafter00unlock:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock,raw,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_exercise:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_exercise:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_exercise,raw,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_exercise:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_exercise:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_exercise,raw,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_exercise:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_exercise:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_exercise,raw,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_exercise:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_exercise:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_exercise,raw,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_exercise:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_exercise:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_exercise,raw,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_exercise:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_exercise:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_exercise,raw,14dhist,0.5941660562712741,28257
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_exercise:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_exercise:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_exercise,raw,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_greens:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_greens:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_greens,raw,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_greens:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_greens:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_greens,raw,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_greens:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_greens:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_greens,raw,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_greens:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_greens:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_greens,raw,14dhist,0.4989587372714608,34886
