control_set,institute_year,predictor,n,partial_r
direct_core_sd,INS-W_1,core_forecastability,88,0.007573906534084891
direct_core_sd,INS-W_1,core_history_skill,88,0.05069460864895424
direct_core_sd,INS-W_2,core_forecastability,152,-0.3421283015533232
direct_core_sd,INS-W_2,core_history_skill,152,-0.2826281600054538
direct_core_sd,INS-W_3,core_forecastability,112,-0.14757783415568113
direct_core_sd,INS-W_3,core_history_skill,112,-0.24126842926858566
direct_core_sd,INS-W_4,core_forecastability,166,-0.010037034552340127
direct_core_sd,INS-W_4,core_history_skill,166,-0.08863232465214907
direct_core_sd_entropy,INS-W_1,core_forecastability,88,0.033616914167574174
direct_core_sd_entropy,INS-W_1,core_history_skill,88,0.07829270834994209
direct_core_sd_entropy,INS-W_2,core_forecastability,152,-0.35330670386901
direct_core_sd_entropy,INS-W_2,core_history_skill,152,-0.32692653095816904
direct_core_sd_entropy,INS-W_3,core_forecastability,112,-0.1819464042785698
direct_core_sd_entropy,INS-W_3,core_history_skill,112,-0.21052774501579322
direct_core_sd_entropy,INS-W_4,core_forecastability,166,-0.027204292501136963
direct_core_sd_entropy,INS-W_4,core_history_skill,166,-0.07509066093504357
variability_pc3_plus_direct_core_sd,INS-W_1,core_forecastability,88,-0.04172540488029852
variability_pc3_plus_direct_core_sd,INS-W_1,core_history_skill,88,0.001018082606985674
variability_pc3_plus_direct_core_sd,INS-W_2,core_forecastability,152,-0.34243511734835835
variability_pc3_plus_direct_core_sd,INS-W_2,core_history_skill,152,-0.2824483772408541
variability_pc3_plus_direct_core_sd,INS-W_3,core_forecastability,112,-0.17004219441704094
variability_pc3_plus_direct_core_sd,INS-W_3,core_history_skill,112,-0.2177646799306916
variability_pc3_plus_direct_core_sd,INS-W_4,core_forecastability,166,-0.01879117164259595
variability_pc3_plus_direct_core_sd,INS-W_4,core_history_skill,166,-0.0823584121945164
