control_set,construct,target,n,partial_r,p_fisher,bootstrap_ci_low,bootstrap_ci_high,q_fdr_all,bonferroni_p_all,max_stat_permutation_p
level_controlled,core_history_skill,baseline_depression,512,-0.16918302846760644,0.00011620410578494386,-0.2517203038776849,-0.0858769326380777,0.003253714961978428,0.003253714961978428,0.001996007984031936
level_controlled,core_history_skill,baseline_anxiety,510,-0.15619539307180735,0.0003910873903421186,-0.24125285676412767,-0.06478354423873296,0.0046600556109051535,0.01095044692957932,0.00998003992015968
level_controlled,core_forecastability,baseline_stress,512,-0.15308567824945699,0.0004992916725969807,-0.23492237047609266,-0.07646106930004884,0.0046600556109051535,0.013980166832715461,0.011976047904191617
level_controlled,core_forecastability,baseline_depression,512,-0.14567127592319826,0.0009328233217626684,-0.22056943885791935,-0.06759678081732794,0.006529763252338679,0.026119053009354715,0.02594810379241517
level_controlled,rich_forecastability,baseline_stress,512,-0.1336214628216255,0.002423169087757046,-0.21694302098910803,-0.04854963849380545,0.013569746891439458,0.06784873445719729,0.059880239520958084
level_controlled,core_history_skill,baseline_stress,512,-0.13024172408849252,0.0031249383563483803,-0.21956426054958927,-0.046306272264358087,0.014583045662959107,0.08749827397775464,0.07385229540918163
level_controlled,rich_history_skill,baseline_stress,512,-0.1255098790053274,0.004418291964007623,-0.21003329368023768,-0.03283081518702979,0.017673167856030493,0.12371217499221346,0.08582834331337326
level_controlled,core_forecastability,baseline_anxiety,510,-0.12237600613970664,0.005616321513828504,-0.19800350309888373,-0.05064753225076287,0.019657125298399764,0.1572570023871981,0.11177644710578842
level_controlled,rich_forecastability,baseline_anxiety,510,-0.11990913613199425,0.006667584715523362,-0.2007038995249475,-0.03911545558722575,0.020743596892739347,0.18669237203465414,0.13572854291417166
level_controlled,rich_history_skill,baseline_conscientiousness,511,0.11718801879572371,0.007966758619952462,0.027314643467066416,0.21244631705522338,0.022306924135866893,0.22306924135866893,0.1536926147704591
level_controlled,rich_history_skill,baseline_anxiety,510,-0.11564903818072943,0.008903600294529445,-0.20216263529179662,-0.028708955729864816,0.022663709840620407,0.24930080824682446,0.1596806387225549
level_controlled,rich_forecastability,baseline_depression,512,-0.11386683188797221,0.00987594897933079,-0.19783531408249963,-0.02917931468977582,0.023043880951771845,0.27652657142126214,0.18163672654690619
level_controlled,core_history_skill,baseline_conscientiousness,511,0.10615316936927593,0.016322695772892363,0.022804665710482414,0.1858060003101072,0.03007445191691527,0.4570354816409862,0.2894211576846307
level_controlled,core_history_skill,baseline_loneliness,512,-0.10571896374492815,0.016662368486328998,-0.18650199399305642,-0.026889504472532487,0.03007445191691527,0.46654631761721194,0.29141716566866266
level_controlled,core_forecastability,baseline_loneliness,512,-0.10543845623074383,0.016955350240028658,-0.19105744613936204,-0.020845417110886097,0.03007445191691527,0.4747498067208024,0.2934131736526946
level_controlled,rich_history_skill,baseline_depression,512,-0.10522115469647514,0.017185401095380155,-0.19912884760988422,-0.013057902456720862,0.03007445191691527,0.48119123067064434,0.2994011976047904
