regime,scope,institute_year,n_trajectories,pearson_r,ci_low,ci_high
disjoint_refit,core,INS-W_1,79,0.292806743839534,0.039389904457585216,0.5207042196832633
disjoint_refit,core,INS-W_2,140,0.29374340191845366,0.13873453731501267,0.45241791637208634
disjoint_refit,core,INS-W_3,115,0.2854388796365328,0.008276070240877903,0.5316540811615562
disjoint_refit,core,INS-W_4,165,0.39754607509105055,0.2463747103974551,0.539664571457363
disjoint_refit,rich,INS-W_1,95,0.2388057547077746,0.07281514594040832,0.41131057637477036
disjoint_refit,rich,INS-W_2,170,0.3803239500882656,0.23048975898124388,0.5078094426011249
disjoint_refit,rich,INS-W_3,121,0.3559703424202832,0.16014962721154677,0.5467831117712842
disjoint_refit,rich,INS-W_4,189,0.34906540431012856,0.18345286544157668,0.5080664735726919
expanding_refit,core,INS-W_1,88,0.45197277027197374,0.1828905280936429,0.6424580629286079
expanding_refit,core,INS-W_2,152,0.38365079240612376,0.18945652383242176,0.5377453328354643
expanding_refit,core,INS-W_3,115,0.4456052143797258,0.2787694038380707,0.6109539250680575
expanding_refit,core,INS-W_4,166,0.4160937566368474,0.24847061752942287,0.5620497105443698
expanding_refit,rich,INS-W_1,102,0.33022907505051025,0.13915981873784447,0.49363559574015364
expanding_refit,rich,INS-W_2,175,0.39702208550552914,0.2564293544884325,0.5145320414510027
expanding_refit,rich,INS-W_3,125,0.4859390258161765,0.3309641113293218,0.6177612998199896
expanding_refit,rich,INS-W_4,190,0.44441272381100383,0.29432840306137426,0.586757595615845
fixed_original,core,INS-W_1,88,0.45774445131987035,0.19456684164645627,0.648512025268454
fixed_original,core,INS-W_2,152,0.38822573550597794,0.2088274905691471,0.5499002106782819
fixed_original,core,INS-W_3,115,0.4448070039347162,0.28714739396559663,0.6184365582939558
fixed_original,core,INS-W_4,166,0.42534179154370877,0.2482980134416527,0.5859170000263098
fixed_original,rich,INS-W_1,102,0.3348980770993478,0.14273285470164915,0.4971912678513456
fixed_original,rich,INS-W_2,175,0.40807187939076667,0.27550504530604003,0.5247426550613757
fixed_original,rich,INS-W_3,125,0.485538598709647,0.3371640867305493,0.617309430392751
fixed_original,rich,INS-W_4,190,0.46369467796692326,0.3095513878126738,0.5931245053239529
