regime,target_name,half,model,n_train_rows,n_train_trajectories,coefficient_l2_norm
expanding_refit,active_duration,early,history,13100,646,0.3706822092136488
expanding_refit,active_duration,early,calendar,13100,646,0.13543878849391988
expanding_refit,active_duration,late,history,17003,646,0.3728881492820049
expanding_refit,active_duration,late,calendar,17003,646,0.11861312818439311
disjoint_refit,active_duration,early,history,6864,643,0.3842100931816932
disjoint_refit,active_duration,early,calendar,6864,643,0.18521313585764868
disjoint_refit,active_duration,late,history,7153,643,0.38278484018934156
disjoint_refit,active_duration,late,calendar,7153,643,0.11429353440997761
expanding_refit,bluetooth_unique_devices,early,history,14627,696,1.0243778497938554
expanding_refit,bluetooth_unique_devices,early,calendar,14627,696,0.0756629989123362
expanding_refit,bluetooth_unique_devices,late,history,18967,696,0.9858151462307292
expanding_refit,bluetooth_unique_devices,late,calendar,18967,696,0.06612821821485933
disjoint_refit,bluetooth_unique_devices,early,history,7700,695,0.9987465475659341
disjoint_refit,bluetooth_unique_devices,early,calendar,7700,695,0.07275989279108029
disjoint_refit,bluetooth_unique_devices,late,history,7891,695,0.8510010479072778
disjoint_refit,bluetooth_unique_devices,late,calendar,7891,695,0.08665817216802738
expanding_refit,incoming_call_count,early,history,9334,681,0.2722004780476406
expanding_refit,incoming_call_count,early,calendar,9334,681,0.06551448969460613
expanding_refit,incoming_call_count,late,history,12279,689,0.28132584807699185
expanding_refit,incoming_call_count,late,calendar,12279,689,0.062017927238840934
disjoint_refit,incoming_call_count,early,history,4887,675,0.27843225898531565
disjoint_refit,incoming_call_count,early,calendar,4887,675,0.07404773925128043
disjoint_refit,incoming_call_count,late,history,5038,675,0.3166981353872178
disjoint_refit,incoming_call_count,late,calendar,5038,675,0.06621635436999851
expanding_refit,location_distance,early,history,14593,630,1.2960269109729774
expanding_refit,location_distance,early,calendar,14593,630,0.6578228259365854
expanding_refit,location_distance,late,history,18885,630,1.3417048572242856
expanding_refit,location_distance,late,calendar,18885,630,0.5736912146845529
disjoint_refit,location_distance,early,history,7719,630,0.9104429488998815
disjoint_refit,location_distance,early,calendar,7719,630,0.5906467339642572
disjoint_refit,location_distance,late,history,7888,630,2.17969894648551
disjoint_refit,location_distance,late,calendar,7888,630,0.5506260940710369
expanding_refit,location_entropy,early,history,16202,693,0.15552806454212428
expanding_refit,location_entropy,early,calendar,16202,693,0.10663967377192944
expanding_refit,location_entropy,late,history,20971,693,0.15043961793200816
expanding_refit,location_entropy,late,calendar,20971,693,0.09108543146886311
