regime,scope,measure,sample,n_trajectories,same_person_mean,matched_cross_person_mean,delta,permutation_p,n_permutations
disjoint_refit,core,forecastability,all_trajectories,499,0.3410875815188432,0.0754576957872966,0.2656298857315466,9.999000099990002e-05,10000
disjoint_refit,core,forecastability,known_single_year_only,215,0.3232883687282656,0.06276405086391575,0.2605243178643499,0.001996007984031936,500
disjoint_refit,core,forecastability_residual_sd,all_trajectories,499,0.2155588090899242,0.019748934461713313,0.1958098746282109,0.001996007984031936,500
disjoint_refit,core,forecastability_residual_sd,known_single_year_only,215,0.2060018334454941,0.0257763813084005,0.18022545213709362,0.001996007984031936,500
disjoint_refit,core,forecastability_residual_sd_entropy,all_trajectories,499,0.1740215868325551,0.011924124302408527,0.16209746253014656,9.999000099990002e-05,10000
disjoint_refit,core,forecastability_residual_sd_entropy,known_single_year_only,215,0.15960748249245338,0.013719970178888676,0.1458875123135647,0.001996007984031936,500
disjoint_refit,core,history_skill,all_trajectories,499,0.36385204217934836,0.03181965795010129,0.3320323842292471,0.001996007984031936,500
disjoint_refit,core,history_skill,known_single_year_only,215,0.3569820552310304,0.04063288249475599,0.3163491727362744,0.001996007984031936,500
disjoint_refit,core,history_skill_residual_sd,all_trajectories,499,0.3225944635235199,0.0020775463988885975,0.3205169171246313,0.001996007984031936,500
disjoint_refit,core,history_skill_residual_sd,known_single_year_only,215,0.31471750313846436,0.008144080457920616,0.3065734226805438,0.001996007984031936,500
disjoint_refit,core,history_skill_residual_sd_entropy,all_trajectories,499,0.26116041796155554,0.006770681880575119,0.2543897360809804,9.999000099990002e-05,10000
disjoint_refit,core,history_skill_residual_sd_entropy,known_single_year_only,215,0.2569240541312713,0.014876458830991026,0.24204759530028025,0.001996007984031936,500
disjoint_refit,rich,forecastability,all_trajectories,575,0.37104333645356413,0.08217040989633989,0.28887292655722424,0.001996007984031936,500
disjoint_refit,rich,forecastability,known_single_year_only,262,0.335087640956255,0.06626264162851869,0.2688249993277363,0.001996007984031936,500
disjoint_refit,rich,forecastability_residual_sd,all_trajectories,575,0.23551863165191367,0.013880652405376089,0.22163797924653758,0.001996007984031936,500
disjoint_refit,rich,forecastability_residual_sd,known_single_year_only,262,0.22652658782877633,0.017018784681165265,0.20950780314761105,0.001996007984031936,500
