regime,scope,analysis,measure,n_trajectories,pearson_r,ci_low,ci_high
disjoint_refit,core,pooled,forecastability,499,0.32249238447384626,0.21923808439598236,0.41444196422007884
disjoint_refit,core,pooled,history_skill,499,0.4447782662076684,0.3501689286039815,0.526516675421685
disjoint_refit,core,pooled,variability,499,0.17425688642074058,0.08345269952643322,0.2692794819724726
disjoint_refit,core,pooled,entropy,499,0.3428872506272584,0.2554024880500063,0.4207937570922516
disjoint_refit,core,cohort_fixed_effect_residual,forecastability,499,0.3213347175137173,0.22100045378990257,0.4147512968950353
disjoint_refit,core,residual_variability,forecastability,499,0.2390294036814369,0.1423213014070174,0.34434386835398645
disjoint_refit,core,residual_entropy,forecastability,499,0.33302964477498337,0.23128976950665286,0.42801655890989493
disjoint_refit,core,residual_variability_entropy,forecastability,499,0.19832950527247056,0.09990050966925541,0.3121999859577329
disjoint_refit,core,residual_variability,history_skill,499,0.43071490323370076,0.3367382400400151,0.5217266248237792
disjoint_refit,core,residual_entropy,history_skill,499,0.41917992416499084,0.32081333253974487,0.5191021804274663
disjoint_refit,core,residual_variability_entropy,history_skill,499,0.40461389751113735,0.3071450948525568,0.5026520459839049
disjoint_refit,rich,pooled,forecastability,575,0.32910107632218866,0.24822225108968388,0.4148764340236675
disjoint_refit,rich,pooled,history_skill,575,0.38492958723583326,0.29719507576013104,0.46408947298232933
disjoint_refit,rich,pooled,variability,575,0.24481871745447545,0.15444524600013743,0.3300535348876531
disjoint_refit,rich,pooled,entropy,575,0.3698681146566264,0.2908987990837509,0.443894711256082
disjoint_refit,rich,cohort_fixed_effect_residual,forecastability,575,0.32965129290132017,0.2474407728539566,0.40977267075091506
disjoint_refit,rich,residual_variability,forecastability,575,0.2395286468231868,0.15059229446832456,0.3141034636195832
disjoint_refit,rich,residual_entropy,forecastability,575,0.3493424596798834,0.27128738107126626,0.4266720215593901
disjoint_refit,rich,residual_variability_entropy,forecastability,575,0.18201072220669767,0.10404962044302841,0.25938225883154586
disjoint_refit,rich,residual_variability,history_skill,575,0.32116297700998975,0.23624180425162103,0.4122149460796711
disjoint_refit,rich,residual_entropy,history_skill,575,0.2916923476611808,0.20807742031391813,0.3737151036735493
disjoint_refit,rich,residual_variability_entropy,history_skill,575,0.28208275863391485,0.20551299020347483,0.36807088986954234
expanding_refit,core,pooled,forecastability,521,0.40715833964292447,0.30708937483766285,0.49554449469572426
expanding_refit,core,pooled,history_skill,521,0.47325960351728485,0.39431011976675506,0.5441303048330153
expanding_refit,core,pooled,variability,521,0.2822297887919388,0.1732189119294132,0.3800398693620209
expanding_refit,core,pooled,entropy,521,0.42315561324713247,0.3512929257597423,0.49360234092368316
expanding_refit,core,cohort_fixed_effect_residual,forecastability,521,0.41908903605835196,0.3221432965863257,0.5055026742519243
expanding_refit,core,residual_variability,forecastability,521,0.25994152869090714,0.05801391622945377,0.4508006194426765
expanding_refit,core,residual_entropy,forecastability,521,0.4243385600517637,0.32986707004106103,0.5136923557505496
