regime,scope,analysis,predictor,variability_measure,n,pearson_r,spearman_r
disjoint_refit,target_half_rows,raw_across_targets,forecastability_raw,observed_sd,17773,-0.548835626294404,-0.6256567633504438
disjoint_refit,target_half_rows,within_target_half_standardized,forecastability_raw,observed_sd,17773,-0.7473931785675001,-0.7100572135296581
disjoint_refit,target_half_rows,raw_across_targets,forecastability_raw,observed_entropy,17773,-0.05755938522597483,-0.14620068954135282
disjoint_refit,target_half_rows,within_target_half_standardized,forecastability_raw,observed_entropy,17773,-0.07404532946287552,-0.20720776412339897
disjoint_refit,target_half_rows,raw_across_targets,history_skill,observed_sd,17773,-0.12969023495867196,-0.2474595737194898
disjoint_refit,target_half_rows,within_target_half_standardized,history_skill,observed_sd,17773,-0.19588238300894445,-0.3156539469758009
disjoint_refit,target_half_rows,raw_across_targets,history_skill,observed_entropy,17773,-0.3099963830631505,-0.4034724659284684
disjoint_refit,target_half_rows,within_target_half_standardized,history_skill,observed_entropy,17773,-0.3417347593987827,-0.4109621943028229
expanding_refit,target_half_rows,raw_across_targets,forecastability_raw,observed_sd,18303,-0.5452905856911698,-0.5942958782909926
expanding_refit,target_half_rows,within_target_half_standardized,forecastability_raw,observed_sd,18303,-0.7477140563959286,-0.7047959250186147
expanding_refit,target_half_rows,raw_across_targets,forecastability_raw,observed_entropy,18303,-0.02611305444817083,-0.11904020883881272
expanding_refit,target_half_rows,within_target_half_standardized,forecastability_raw,observed_entropy,18303,-0.060309940470144936,-0.18478210768101702
expanding_refit,target_half_rows,raw_across_targets,history_skill,observed_sd,18303,-0.12503589103692228,-0.22564419004920774
expanding_refit,target_half_rows,within_target_half_standardized,history_skill,observed_sd,18303,-0.17446984697420692,-0.2924720519110041
expanding_refit,target_half_rows,raw_across_targets,history_skill,observed_entropy,18303,-0.3281530187064058,-0.41651819963415915
expanding_refit,target_half_rows,within_target_half_standardized,history_skill,observed_entropy,18303,-0.3611178363462555,-0.42961601176432096
fixed_original,target_half_rows,raw_across_targets,forecastability_raw,observed_sd,18012,-0.541352646651984,-0.5805472242591908
fixed_original,target_half_rows,within_target_half_standardized,forecastability_raw,observed_sd,18012,-0.7423910927993336,-0.7056091843025983
fixed_original,target_half_rows,raw_across_targets,forecastability_raw,observed_entropy,18012,-0.024887340227817294,-0.11908856559337927
fixed_original,target_half_rows,within_target_half_standardized,forecastability_raw,observed_entropy,18012,-0.06577257659283177,-0.1906105269902407
fixed_original,target_half_rows,raw_across_targets,history_skill,observed_sd,18012,-0.12843009063923672,-0.22418659942222646
fixed_original,target_half_rows,within_target_half_standardized,history_skill,observed_sd,18012,-0.17702301197906917,-0.2941361884358945
fixed_original,target_half_rows,raw_across_targets,history_skill,observed_entropy,18012,-0.32231395256339057,-0.4046893850075441
fixed_original,target_half_rows,within_target_half_standardized,history_skill,observed_entropy,18012,-0.3515684107642658,-0.42016143331371153
disjoint_refit,core,person_average_composite,forecastability,variability,499,-0.899655439345841,-0.8910771905256296
disjoint_refit,core,person_average_composite,forecastability,entropy,499,-0.04826400665303008,-0.10315232875389332
disjoint_refit,core,person_average_composite,history_skill,variability,499,-0.24887362914867073,-0.2711491416568076
disjoint_refit,core,person_average_composite,history_skill,entropy,499,-0.4399810210292031,-0.44388159451432985
disjoint_refit,rich,person_average_composite,forecastability,variability,575,-0.8265734275426654,-0.804461066505075
disjoint_refit,rich,person_average_composite,forecastability,entropy,575,-0.1884375986633395,-0.2158157223652982
disjoint_refit,rich,person_average_composite,history_skill,variability,575,-0.37448748834482254,-0.3740853027319093
disjoint_refit,rich,person_average_composite,history_skill,entropy,575,-0.5180259445630637,-0.48493340655456246
expanding_refit,core,person_average_composite,forecastability,variability,521,-0.9098962043835452,-0.9090757588871295
expanding_refit,core,person_average_composite,forecastability,entropy,521,-0.049394385830351314,-0.12009941434125695
expanding_refit,core,person_average_composite,history_skill,variability,521,-0.2562262428191465,-0.27329380858072366
expanding_refit,core,person_average_composite,history_skill,entropy,521,-0.5305237862092108,-0.5205913948385323
expanding_refit,rich,person_average_composite,forecastability,variability,592,-0.8423034535068351,-0.8333370157207481
expanding_refit,rich,person_average_composite,forecastability,entropy,592,-0.23317786084115186,-0.27563444836024253
expanding_refit,rich,person_average_composite,history_skill,variability,592,-0.4108427980345074,-0.3972501126116486
expanding_refit,rich,person_average_composite,history_skill,entropy,592,-0.5690605774047052,-0.5139566724512924
fixed_original,core,person_average_composite,forecastability,variability,521,-0.9121934476195503,-0.9087743593137729
fixed_original,core,person_average_composite,forecastability,entropy,521,-0.048147046223748644,-0.11552292656270417
fixed_original,core,person_average_composite,history_skill,variability,521,-0.2681080154151391,-0.28248310142876293
fixed_original,core,person_average_composite,history_skill,entropy,521,-0.5177257795299436,-0.5045006287643127
fixed_original,rich,person_average_composite,forecastability,variability,592,-0.8414530908648508,-0.8314961304856101
fixed_original,rich,person_average_composite,forecastability,entropy,592,-0.2359067371860166,-0.2868646117633885
fixed_original,rich,person_average_composite,history_skill,variability,592,-0.4209892613966401,-0.4102352710094469
fixed_original,rich,person_average_composite,history_skill,entropy,592,-0.5608812479069549,-0.5074303444609297
