true_auc,mean_simulated_macro_auc,sd_simulated_macro_auc,power_detect_above_chance,power_pass_full_recorded_rule
0.5,0.5000045164783427,0.020498880423318773,0.02495,0.00665
0.51,0.5099482721280603,0.020371999645518998,0.0703,0.02535
0.52,0.5197797537664782,0.02069848481012051,0.1623,0.0734
0.53,0.5300133606403012,0.02053269032770304,0.3079,0.16275
0.54,0.5398603822975517,0.020445051923144143,0.492,0.30845
0.55,0.5498374232580038,0.020655218277962153,0.6802,0.4982
0.56,0.5601669618644067,0.020562664079571646,0.83205,0.6868
0.57,0.5699976374764596,0.020319043214660597,0.9283,0.83965
0.58,0.579902420433145,0.020099791552337782,0.97555,0.93155
0.59,0.5900781492467043,0.020142596293735413,0.993,0.97435
0.6,0.6000393695856874,0.020070674104519643,0.9984,0.993
0.61,0.6101898521657251,0.01995695528508363,0.99955,0.9983
0.62,0.6200078611111111,0.020016919862996436,0.9999,0.99965
0.63,0.6300602923728813,0.01989611196630942,1.0,0.9999
0.64,0.6400209797551789,0.01982283654484638,1.0,1.0
0.65,0.6499815814500942,0.0195135681329686,1.0,1.0
0.66,0.6600313945386064,0.019495859973145634,1.0,1.0
0.67,0.6700633281544257,0.01920765911934256,1.0,1.0
0.68,0.6801245428436912,0.01905015431300766,1.0,1.0
0.69,0.6899675188323917,0.018854237544016526,1.0,1.0
0.7,0.7001459129001883,0.018595285299992496,1.0,1.0
