regime,target_name,half,model,n_train_rows,n_features,coefficient_l2_norm
fixed_refit,active_duration,early,calendar,13100,3,0.13543878849391988
fixed_refit,active_duration,early,lag1_history,13100,4,0.33837984753079536
fixed_refit,active_duration,early,short_window_history,13100,5,0.41482466667720164
fixed_refit,active_duration,early,recent_history,13100,6,0.4126772071474872
fixed_refit,active_duration,early,long_horizon_fingerprint,13100,5,0.46449934525580655
fixed_refit,active_duration,early,combined_own_history,13100,8,0.3706822092136488
fixed_refit,active_duration,early,cross_domain_history,13100,29,0.6712632587090388
fixed_refit,active_duration,late,calendar,13100,3,0.13543878849391988
fixed_refit,active_duration,late,lag1_history,13100,4,0.33837984753079536
fixed_refit,active_duration,late,short_window_history,13100,5,0.41482466667720164
fixed_refit,active_duration,late,recent_history,13100,6,0.4126772071474872
fixed_refit,active_duration,late,long_horizon_fingerprint,13100,5,0.46449934525580655
fixed_refit,active_duration,late,combined_own_history,13100,8,0.3706822092136488
fixed_refit,active_duration,late,cross_domain_history,13100,29,0.6712632587090388
expanding_refit,active_duration,early,calendar,13100,3,0.13543878849391988
expanding_refit,active_duration,early,lag1_history,13100,4,0.33837984753079536
expanding_refit,active_duration,early,short_window_history,13100,5,0.41482466667720164
expanding_refit,active_duration,early,recent_history,13100,6,0.4126772071474872
expanding_refit,active_duration,early,long_horizon_fingerprint,13100,5,0.46449934525580655
expanding_refit,active_duration,early,combined_own_history,13100,8,0.3706822092136488
expanding_refit,active_duration,early,cross_domain_history,13100,29,0.6712632587090388
expanding_refit,active_duration,late,calendar,17003,3,0.11861312818439311
expanding_refit,active_duration,late,lag1_history,17003,4,0.3298103497147499
expanding_refit,active_duration,late,short_window_history,17003,5,0.40101243584890944
expanding_refit,active_duration,late,recent_history,17003,6,0.39747518306120755
expanding_refit,active_duration,late,long_horizon_fingerprint,17003,5,0.46140542918442917
expanding_refit,active_duration,late,combined_own_history,17003,8,0.3728881492820049
expanding_refit,active_duration,late,cross_domain_history,17003,29,0.9356535934511212
disjoint_refit,active_duration,early,calendar,6864,3,0.18521313585764868
disjoint_refit,active_duration,early,lag1_history,6864,4,0.36423637932986314
disjoint_refit,active_duration,early,short_window_history,6864,5,0.45609083276059376
disjoint_refit,active_duration,early,recent_history,6864,6,0.45286492198884254
disjoint_refit,active_duration,early,long_horizon_fingerprint,6864,5,0.4744570633186438
disjoint_refit,active_duration,early,combined_own_history,6864,8,0.3842100931816932
disjoint_refit,active_duration,early,cross_domain_history,6864,29,0.5784856125384501
disjoint_refit,active_duration,late,calendar,7153,3,0.11429353440997761
disjoint_refit,active_duration,late,lag1_history,7153,4,0.3079220217681914
disjoint_refit,active_duration,late,short_window_history,7153,5,0.37240617209599164
disjoint_refit,active_duration,late,recent_history,7153,6,0.3651571397914084
disjoint_refit,active_duration,late,long_horizon_fingerprint,7153,5,0.4544151603567461
disjoint_refit,active_duration,late,combined_own_history,7153,8,0.38278484018934156
disjoint_refit,active_duration,late,cross_domain_history,7153,29,1.0404918456717713
fixed_refit,screen_unlock_count,early,calendar,16217,3,0.022847011642551537
fixed_refit,screen_unlock_count,early,lag1_history,16217,4,0.4682742377532086
fixed_refit,screen_unlock_count,early,short_window_history,16217,5,0.5015525136513197
fixed_refit,screen_unlock_count,early,recent_history,16217,6,0.48591060281559845
fixed_refit,screen_unlock_count,early,long_horizon_fingerprint,16217,5,0.5535151945592491
fixed_refit,screen_unlock_count,early,combined_own_history,16217,8,0.4070756001762205
fixed_refit,screen_unlock_count,early,cross_domain_history,16217,29,0.5798346776212285
fixed_refit,screen_unlock_count,late,calendar,16217,3,0.022847011642551537
fixed_refit,screen_unlock_count,late,lag1_history,16217,4,0.4682742377532086
fixed_refit,screen_unlock_count,late,short_window_history,16217,5,0.5015525136513197
fixed_refit,screen_unlock_count,late,recent_history,16217,6,0.48591060281559845
fixed_refit,screen_unlock_count,late,long_horizon_fingerprint,16217,5,0.5535151945592491
fixed_refit,screen_unlock_count,late,combined_own_history,16217,8,0.4070756001762205
fixed_refit,screen_unlock_count,late,cross_domain_history,16217,29,0.5798346776212285
expanding_refit,screen_unlock_count,early,calendar,16217,3,0.022847011642551537
expanding_refit,screen_unlock_count,early,lag1_history,16217,4,0.4682742377532086
expanding_refit,screen_unlock_count,early,short_window_history,16217,5,0.5015525136513197
expanding_refit,screen_unlock_count,early,recent_history,16217,6,0.48591060281559845
expanding_refit,screen_unlock_count,early,long_horizon_fingerprint,16217,5,0.5535151945592491
expanding_refit,screen_unlock_count,early,combined_own_history,16217,8,0.4070756001762205
expanding_refit,screen_unlock_count,early,cross_domain_history,16217,29,0.5798346776212285
expanding_refit,screen_unlock_count,late,calendar,20988,3,0.030705601799253832
expanding_refit,screen_unlock_count,late,lag1_history,20988,4,0.4699374339502157
expanding_refit,screen_unlock_count,late,short_window_history,20988,5,0.5038178137330143
expanding_refit,screen_unlock_count,late,recent_history,20988,6,0.4920130265383089
expanding_refit,screen_unlock_count,late,long_horizon_fingerprint,20988,5,0.5424268578546103
expanding_refit,screen_unlock_count,late,combined_own_history,20988,8,0.4013489008407436
expanding_refit,screen_unlock_count,late,cross_domain_history,20988,29,0.6849424998374939
disjoint_refit,screen_unlock_count,early,calendar,8571,3,0.025727767038567356
disjoint_refit,screen_unlock_count,early,lag1_history,8571,4,0.4704682183978772
disjoint_refit,screen_unlock_count,early,short_window_history,8571,5,0.5364124975065697
disjoint_refit,screen_unlock_count,early,recent_history,8571,6,0.5140892431434751
disjoint_refit,screen_unlock_count,early,long_horizon_fingerprint,8571,5,0.5630942671116669
disjoint_refit,screen_unlock_count,early,combined_own_history,8571,8,0.44945282901904116
disjoint_refit,screen_unlock_count,early,cross_domain_history,8571,29,0.5954239414160242
disjoint_refit,screen_unlock_count,late,calendar,8778,3,0.04725922311097918
disjoint_refit,screen_unlock_count,late,lag1_history,8778,4,0.4714364092840474
disjoint_refit,screen_unlock_count,late,short_window_history,8778,5,0.5281350859437051
disjoint_refit,screen_unlock_count,late,recent_history,8778,6,0.5191079822067841
disjoint_refit,screen_unlock_count,late,long_horizon_fingerprint,8778,5,0.5174513610639844
disjoint_refit,screen_unlock_count,late,combined_own_history,8778,8,0.4068369526059979
disjoint_refit,screen_unlock_count,late,cross_domain_history,8778,29,0.6549769591931625
fixed_refit,screen_unlock_duration,early,calendar,16217,3,0.0451693463975186
fixed_refit,screen_unlock_duration,early,lag1_history,16217,4,0.33910382828775515
fixed_refit,screen_unlock_duration,early,short_window_history,16217,5,0.35577543207439916
fixed_refit,screen_unlock_duration,early,recent_history,16217,6,0.33549847694859347
fixed_refit,screen_unlock_duration,early,long_horizon_fingerprint,16217,5,0.44742933159322595
fixed_refit,screen_unlock_duration,early,combined_own_history,16217,8,0.2868249731694454
fixed_refit,screen_unlock_duration,early,cross_domain_history,16217,29,0.4503697705796468
fixed_refit,screen_unlock_duration,late,calendar,16217,3,0.0451693463975186
fixed_refit,screen_unlock_duration,late,lag1_history,16217,4,0.33910382828775515
fixed_refit,screen_unlock_duration,late,short_window_history,16217,5,0.35577543207439916
fixed_refit,screen_unlock_duration,late,recent_history,16217,6,0.33549847694859347
fixed_refit,screen_unlock_duration,late,long_horizon_fingerprint,16217,5,0.44742933159322595
fixed_refit,screen_unlock_duration,late,combined_own_history,16217,8,0.2868249731694454
fixed_refit,screen_unlock_duration,late,cross_domain_history,16217,29,0.4503697705796468
expanding_refit,screen_unlock_duration,early,calendar,16217,3,0.0451693463975186
expanding_refit,screen_unlock_duration,early,lag1_history,16217,4,0.33910382828775515
expanding_refit,screen_unlock_duration,early,short_window_history,16217,5,0.35577543207439916
expanding_refit,screen_unlock_duration,early,recent_history,16217,6,0.33549847694859347
expanding_refit,screen_unlock_duration,early,long_horizon_fingerprint,16217,5,0.44742933159322595
expanding_refit,screen_unlock_duration,early,combined_own_history,16217,8,0.2868249731694454
expanding_refit,screen_unlock_duration,early,cross_domain_history,16217,29,0.4503697705796468
expanding_refit,screen_unlock_duration,late,calendar,20988,3,0.04016980881231998
expanding_refit,screen_unlock_duration,late,lag1_history,20988,4,0.3361187702844303
