regime,k,held_out_cohort,n_trajectories,assignment_accuracy,adjusted_rand_index,accuracy_permutation_p,minimum_cluster_prevalence,early_silhouette
fixed_original,2,INS-W_1,88,0.5909090909090909,0.0212294128782757,0.1317365269461078,0.42045454545454547,0.29257089268168074
fixed_original,2,INS-W_2,152,0.6118421052631579,0.0436807840088382,0.00998003992015968,0.4276315789473684,0.2439746477315551
fixed_original,2,INS-W_3,115,0.7130434782608696,0.17437168934443326,0.001996007984031936,0.45217391304347826,0.27160654199712286
fixed_original,2,INS-W_4,166,0.6445783132530121,0.07818176380451741,0.001996007984031936,0.39759036144578314,0.2879898788574462
fixed_original,3,INS-W_1,88,0.5227272727272727,0.06688366964384165,0.003992015968063872,0.2159090909090909,0.3027700436938164
fixed_original,3,INS-W_2,152,0.48026315789473684,0.06457935908577876,0.001996007984031936,0.3026315789473684,0.2401430261919702
fixed_original,3,INS-W_3,115,0.5478260869565217,0.09703784839212788,0.001996007984031936,0.30434782608695654,0.25780798252673565
fixed_original,3,INS-W_4,166,0.5060240963855421,0.056443847887242916,0.001996007984031936,0.21686746987951808,0.25865405677031744
fixed_original,4,INS-W_1,88,0.4659090909090909,0.06213495147837546,0.001996007984031936,0.125,0.2803090921313032
fixed_original,4,INS-W_2,152,0.39473684210526316,0.049147956491487496,0.001996007984031936,0.17105263157894737,0.24236911575892606
fixed_original,4,INS-W_3,115,0.4260869565217391,0.04561230121252565,0.001996007984031936,0.17391304347826086,0.2168430497065232
fixed_original,4,INS-W_4,166,0.39759036144578314,0.04087564047783724,0.001996007984031936,0.1566265060240964,0.2638779350801004
fixed_original,5,INS-W_1,88,0.375,0.04400190533257477,0.001996007984031936,0.125,0.2429292266064759
fixed_original,5,INS-W_2,152,0.3223684210526316,0.03854615096108682,0.003992015968063872,0.13815789473684212,0.2445236878075435
fixed_original,5,INS-W_3,115,0.2956521739130435,0.023255268412065117,0.007984031936127744,0.16521739130434782,0.22412263885151676
fixed_original,5,INS-W_4,166,0.3373493975903614,0.028828498192889875,0.001996007984031936,0.12650602409638553,0.25608107681494835
disjoint_refit,2,INS-W_1,79,0.6708860759493671,0.10529436904301302,0.015968063872255488,0.4177215189873418,0.2865157685277963
disjoint_refit,2,INS-W_2,140,0.6857142857142857,0.13174684940841488,0.001996007984031936,0.37142857142857144,0.35556785321383627
disjoint_refit,2,INS-W_3,115,0.5652173913043478,0.008372886704900398,0.10578842315369262,0.4608695652173913,0.34412607978560805
disjoint_refit,2,INS-W_4,165,0.5575757575757576,0.007244009342981174,0.08582834331337326,0.46060606060606063,0.2819018080874802
disjoint_refit,3,INS-W_1,79,0.5316455696202531,0.07387337865189937,0.001996007984031936,0.2911392405063291,0.24794838420474372
disjoint_refit,3,INS-W_2,140,0.42857142857142855,0.02057858817592719,0.017964071856287425,0.22142857142857142,0.2502095181746986
disjoint_refit,3,INS-W_3,115,0.45217391304347826,0.035748537292475784,0.007984031936127744,0.28695652173913044,0.27498679868268106
disjoint_refit,3,INS-W_4,165,0.41818181818181815,0.012544181078875335,0.013972055888223553,0.3212121212121212,0.22144051127569692
disjoint_refit,4,INS-W_1,79,0.45569620253164556,0.08916156392081173,0.001996007984031936,0.16455696202531644,0.24367889151380528
disjoint_refit,4,INS-W_2,140,0.36428571428571427,0.023901099579545896,0.007984031936127744,0.17857142857142858,0.22150061384838163
disjoint_refit,4,INS-W_3,115,0.40869565217391307,0.047552511128085145,0.001996007984031936,0.19130434782608696,0.22069895114160734
disjoint_refit,4,INS-W_4,165,0.34545454545454546,0.030234591494100307,0.003992015968063872,0.18787878787878787,0.23055911377702915
disjoint_refit,5,INS-W_1,79,0.4430379746835443,0.08429624650040354,0.001996007984031936,0.13924050632911392,0.23928965734326063
disjoint_refit,5,INS-W_2,140,0.2857142857142857,0.0759773980082966,0.03792415169660679,0.1,0.23966572100521283
disjoint_refit,5,INS-W_3,115,0.3130434782608696,0.012096454350757513,0.00998003992015968,0.14782608695652175,0.2503804250670494
disjoint_refit,5,INS-W_4,165,0.30303030303030304,0.025242759662924646,0.00998003992015968,0.13333333333333333,0.24167184842271894
